CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKUPL28-NOV-2024,552.6500000,551.8000000,554.7000000,539.0000000,548.6500000,548.6500000,-0.7200000,4755.0000000,10896910.0000000,8042.0000000,5937137037.2500000
FUTSTKTITAN28-NOV-2024,3327.4500000,3280.0000000,3324.8500000,3276.1000000,3294.0500000,3294.0500000,-1.0000000,13752.0000000,2140950.0000000,12234.0000000,7062760626.2500000
FUTSTKCOROMANDEL26-DEC-2024,1776.9500000,1777.9500000,1778.6500000,1755.2500000,1770.3500000,1770.3500000,-0.3700000,5792.0000000,1025500.0000000,2930.0000000,1812238400.0000000
FUTSTKCUB26-DEC-2024,180.3600000,181.0000000,182.8400000,178.1600000,179.3000000,179.3000000,-0.5800000,5452.0000000,13460000.0000000,2692.0000000,2418956200.0000000
FUTSTKBSOFT28-NOV-2024,593.4000000,595.1500000,604.0000000,593.6000000,601.2500000,601.2500000,1.3200000,2981.0000000,4674000.0000000,4674.0000000,2803523100.0000000
FUTSTKTECHM28-NOV-2024,1745.0500000,1741.4000000,1768.2500000,1736.0000000,1754.7500000,1754.7500000,0.5500000,3698.0000000,3505200.0000000,5842.0000000,6159708660.0000000
FUTSTKATUL28-NOV-2024,7377.5000000,7408.2500000,7408.2500000,7307.2500000,7366.9500000,7366.9500000,-0.1400000,1857.0000000,245500.0000000,2455.0000000,1805305110.0000000
FUTSTKEXIDEIND26-DEC-2024,428.4500000,430.0000000,448.5000000,429.5000000,447.2000000,447.2000000,4.3700000,15392.0000000,23646600.0000000,13137.0000000,10431092520.0000000
FUTSTKICICIGI28-NOV-2024,1855.1500000,1855.1500000,1872.0500000,1833.7000000,1864.6500000,1864.6500000,0.5100000,4272.0000000,2191500.0000000,8766.0000000,4056893600.0000000
FUTSTKDIVISLAB28-NOV-2024,6083.9000000,6112.7000000,6113.0500000,6001.5000000,6012.6000000,6012.6000000,-1.1700000,4569.0000000,866400.0000000,8664.0000000,5248151385.0000000
FUTSTKAPOLLOTYRE28-NOV-2024,518.8000000,518.7000000,522.0500000,508.9000000,512.8000000,512.8000000,-1.1500000,2028.0000000,6208400.0000000,3652.0000000,3178203465.0000000
FUTSTKTATAPOWER28-NOV-2024,409.5000000,411.6000000,418.0000000,408.7500000,417.3000000,417.3000000,1.9000000,15042.0000000,19755900.0000000,14634.0000000,8186358690.0000000
FUTSTKDEEPAKNTR28-NOV-2024,2716.3000000,2711.6500000,2748.3000000,2698.5500000,2723.6500000,2723.6500000,0.2700000,1334.0000000,1069500.0000000,3565.0000000,2912453790.0000000
FUTSTKNMDC28-NOV-2024,226.9700000,226.9500000,229.6000000,225.6700000,228.0900000,228.0900000,0.4900000,4953.0000000,25366500.0000000,5637.0000000,5779593450.0000000
FUTSTKSUNTV26-DEC-2024,741.4500000,746.5000000,746.5000000,728.7000000,739.1500000,739.1500000,-0.3100000,5790.0000000,2869500.0000000,3826.0000000,2116000275.0000000
FUTIDXBANKNIFTY24-DEC-2024,52510.4000000,52500.0000000,52723.0000000,52321.0000000,52617.4500000,52617.4500000,0.2000000,124817.0000000,1598400.0000000,106560.0000000,84033901257.7500000
